,words,Corrected_IOB2_Labels
0,Data,B-PARAMETER
1,Recorder,B-COMPONENT
2,File,O
3,Index,O
4,is,O
5,nnn,O
6,"""",O
7,Detected,O
8,side,O
9,/,O
10,backward,O
11,/,O
12,forward,O
13,shock,O
14,/,O
15,possible,O
16,collision,O
17,",",O
18,aircraft,O
19,is,O
20,pitching,O
21,/,O
22,rolling,O
23,sharply,O
24,forward,O
25,/,O
26,backwards,O
27,/,O
28,left,O
29,/,O
30,right,O
31,"""",O
32,Downlink,B-COMPONENT
33,data,O
34,connection,O
35,lost,O
36,for,O
37,nnn,O
38,seconds,O
39,High,O
40,Wind,B-COMPONENT
41,Velocity,B-PARAMETER
42,:,O
43,Fly,B-ACTION
44,with,O
45,caution,O
46,and,O
47,ensure,O
48,the,O
49,aircraft,O
50,remains,O
51,within,O
52,your,O
53,line,O
54,of,O
55,sight,O
56,Home,B-COMPONENT
57,Point,B-STATE
58,Recorded,B-FUNCTION
59,Motor,B-COMPONENT
60,is,O
61,Blocked,B-ISSUE
62,Propeller,B-COMPONENT
63,Fell,B-ACTION
64,Off,O
65,Reaching,B-ACTION
66,maximum,O
67,altitude,O
68,...,O
69,Remote,B-COMPONENT
70,controller,O
71,signal,O
72,weak,O
73,.,O
74,Adjust,B-ACTION
75,remote,O
76,controller,O
77,antennas,O
78,(,O
79,Code,O
80,:,O
81,80002,O
82,),O
83,Setting,B-FUNCTION
84,new,O
85,Maximum,O
86,Flight,B-ACTION
87,Altitude,B-PARAMETER
88,to,O
89,nnn,O
90,(,O
91,nnn,O
92,),O
93,Setting,B-FUNCTION
94,new,O
95,Return,B-ACTION
96,-,O
97,To,O
98,-,O
99,Home,B-COMPONENT
100,altitude,O
101,to,O
102,nnn,O
103,(,O
104,nnn,O
105,),O
106,"""",O
107,Sprayer,B-COMPONENT
108,turned,O
109,OFF,O
110,",",O
111,spray,O
112,rate,O
113,was,O
114,nnn,O
115,liters,O
116,/,O
117,min,O
118,"""",O
119,Sprayer,B-COMPONENT
120,turned,O
121,ON,O
122,Total,O
123,sprayed,O
124,:,O
125,nnn,O
126,L,O
127,/,O
128,gal,O
129,.,O
130,nnn,O
131,/,O
132,acres,O
133,nnn,O
134,/,O
135,gal,O
136,.,O
137,per,O
138,acre,O
139,Your,O
140,aircraft,O
141,is,O
142,flying,O
143,in,O
144,an,O
145,Altitude,B-PARAMETER
146,Zone,B-COMPONENT
147,(,O
148,nnn,O
149,),O
150,.,O
151,Please,O
152,fly,O
153,with,O
154,caution,O
155,Accelerator,O
156,is,O
157,Over,O
158,Range,B-PARAMETER
159,Account,O
160,not,O
161,logged,O
162,in,O
163,.,O
164,Flight,B-ACTION
165,altitude,O
166,and,O
167,distance,O
168,restricted,O
169,to,O
170,nnn,O
171,and,O
172,nnn,O
173,.,O
174,Check,B-ACTION
175,and,O
176,log,O
177,in,O
178,(,O
179,Code,O
180,:,O
181,3000003,O
182,),O
183,Aircraft,O
184,GPS,O
185,interference,O
186,.,O
187,Aircraft,O
188,unable,O
189,to,O
190,fly,O
191,stably,O
192,.,O
193,Land,B-ACTION
194,or,O
195,reutrn,O
196,to,O
197,home,O
198,promptly,O
199,(,O
200,Code,O
201,:,O
202,30245,O
203,),O
204,Aircraft,O
205,in,O
206,Altitude,B-PARAMETER
207,Zone,B-COMPONENT
208,(,O
209,Altitude,B-PARAMETER
210,limit,O
211,:,O
212,nnn,O
213,),O
214,.,O
215,Fly,B-ACTION
216,with,O
217,caution,O
218,(,O
219,Code,O
220,:,O
221,190012,O
222,),O
223,Aircraft,O
224,in,O
225,Altitude,B-PARAMETER
226,Zone,B-COMPONENT
227,(,O
228,nnn,O
229,),O
230,.,O
231,Fly,B-ACTION
232,with,O
233,caution,O
234,(,O
235,Code,O
236,:,O
237,190001,O
238,),O
239,Aircraft,O
240,in,O
241,Altitude,B-PARAMETER
242,Zone,B-COMPONENT
243,.,O
244,Max,O
245,altitude,O
246,set,O
247,to,O
248,nnn,O
249,(,O
250,Code,O
251,:,O
252,30015,O
253,),O
254,Aircraft,O
255,in,O
256,Attitude,B-PARAMETER
257,mode,O
258,.,O
259,Unable,O
260,to,O
261,hover,O
262,.,O
263,Fly,B-ACTION
264,with,O
265,caution,O
266,(,O
267,Code,O
268,:,O
269,30004,O
270,),O
271,Aircraft,O
272,in,O
273,Authorization,B-ISSUE
274,Zone,B-COMPONENT
275,.,O
276,Exit,B-ACTION
277,zone,O
278,promptly,O
279,(,O
280,Code,O
281,:,O
282,190004,O
283,),O
284,Aircraft,O
285,in,O
286,Authorization,B-ISSUE
287,Zone,B-COMPONENT
288,.,O
289,Unable,O
290,to,O
291,take,O
292,off,O
293,before,O
294,unlocking,O
295,(,O
296,Code,O
297,:,O
298,3000005,O
299,),O
300,Aircraft,O
301,in,O
302,Restricted,O
303,Zone,B-COMPONENT
304,.,O
305,Unable,O
306,to,O
307,take,O
308,off,O
309,.,O
310,Check,B-ACTION
311,map,O
312,to,O
313,find,O
314,Recommended,B-STATE
315,Zones,B-COMPONENT
316,(,O
317,Code,O
318,:,O
319,3000006,O
320,),O
321,"""",O
322,Aircraft,O
323,max,O
324,power,O
325,load,O
326,reached,O
327,.,O
328,Decrease,B-ACTION
329,altitude,O
330,and,O
331,fly,O
332,with,O
333,caution,O
334,.,O
335,If,O
336,this,O
337,issue,O
338,persists,O
339,",",O
340,land,O
341,immediately,O
342,(,O
343,Code,O
344,:,O
345,30168,O
346,),O
347,"""",O
348,Aircraft,O
349,not,O
350,in,O
351,flight,O
352,.,O
353,Vision,B-COMPONENT
354,system,O
355,and,O
356,obstacle,O
357,sensing,O
358,unavailable,O
359,(,O
360,Code,O
361,:,O
362,180059,O
363,),O
364,Aircraft,O
365,not,O
366,in,O
367,flight,O
368,.,O
369,Vision,B-COMPONENT
370,systems,O
371,and,O
372,obstacle,O
373,avoidance,O
374,disabled,O
375,(,O
376,Code,O
377,:,O
378,180059,O
379,),O
380,Aircraft,O
381,not,O
382,linked,O
383,to,O
384,phone,O
385,number,O
386,.,O
387,Flight,B-ACTION
388,range,O
389,restricted,O
390,.,O
391,Check,B-ACTION
392,and,O
393,link,O
394,phone,O
395,number,O
396,(,O
397,Code,O
398,:,O
399,3000004,O
400,),O
401,Aircraft,O
402,pitch,O
403,angle,O
404,too,O
405,large,O
406,.,O
407,Ensure,B-ACTION
408,aircraft,O
409,is,O
410,level,O
411,before,O
412,taking,O
413,off,O
414,(,O
415,Code,O
416,:,O
417,30087,O
418,),O
419,Aircraft,O
420,processor,O
421,overheated,O
422,.,O
423,Automatically,O
424,returning,O
425,to,O
426,home,O
427,(,O
428,Code,O
429,:,O
430,30185,O
431,),O
432,Aircraft,O
433,unable,O
434,to,O
435,return,O
436,to,O
437,home,O
438,automatically,O
439,.,O
440,Lower,O
441,altitude,O
442,immediately,O
443,and,O
444,return,O
445,to,O
446,home,O
447,manually,O
448,(,O
449,Code,O
450,:,O
451,120596,O
452,),O
453,AirSense,O
454,communication,O
455,error,O
456,.,O
457,Unable,O
458,to,O
459,display,O
460,nearby,O
461,manned,O
462,aircraft,O
463,and,O
464,anti,O
465,-,O
466,collision,O
467,warnings,O
468,.,O
469,Fly,B-ACTION
470,with,O
471,caution,O
472,(,O
473,Code,O
474,:,O
475,30247,O
476,),O
477,Altitude,B-PARAMETER
478,Zone,B-COMPONENT
479,nnn,O
480,Barometer,B-COMPONENT
481,Dead,O
482,in,O
483,Air,O
484,Barometer,B-COMPONENT
485,initialization,O
486,failed,O
487,.,O
488,Restart,B-ACTION
489,aircraft,O
490,(,O
491,Code,O
492,:,O
493,30042,O
494,),O
495,Barometer,B-COMPONENT
496,initialization,O
497,failed,O
498,.,O
499,Restart,B-ACTION
500,aircraft,O
501,(,O
502,Code,O
503,:,O
504,30047,O
505,),O
506,Battery,B-COMPONENT
507,error,O
508,.,O
509,Aircraft,O
510,returning,O
511,to,O
512,home,O
513,automatically,O
514,(,O
515,Code,O
516,:,O
517,110024,O
518,),O
519,Battery,B-COMPONENT
520,overheating,O
521,.,O
522,Stop,B-ACTION
523,flying,O
524,and,O
525,wait,O
526,for,O
527,battery,O
528,temperature,O
529,to,O
530,return,O
531,to,O
532,normal,O
533,(,O
534,Code,O
535,:,O
536,110002,O
537,),O
538,Battery,B-COMPONENT
539,power,O
540,limit,O
541,will,O
542,automatically,O
543,reduce,O
544,the,O
545,aircraft,O
546,'s,O
547,mobility,O
548,to,O
549,ensure,O
550,flight,O
551,safety,O
552,Battery,B-COMPONENT
553,power,O
554,restricted,O
555,.,O
556,Aircraft,O
557,performance,O
558,decreased,O
559,to,O
560,ensure,O
561,flight,O
562,safety,O
563,.,O
564,Return,B-ACTION
565,to,O
566,home,O
567,promptly,O
568,(,O
569,Code,O
570,:,O
571,110013,O
572,),O
573,Battery,B-COMPONENT
574,temperature,O
575,too,O
576,low,O
577,.,O
578,Fly,B-ACTION
579,with,O
580,caution,O
