Unnamed: 0,sentence_ID,words,labels
0,0,Data,B-PARAMETER PROPN
1,0,Recorder,B-COMPONENT NOUN
2,0,File,O NOUN
3,0,Index,O NOUN
4,0,is,O AUX
5,0,nnn,O X
6,1,"""",O PUNCT
7,1,Detected,O VERB
8,1,side,O NOUN
9,1,/,O PUNCT
10,1,backward,O ADV
11,1,/,O PUNCT
12,1,forward,O ADV
13,1,shock,O NOUN
14,1,/,O PUNCT
15,1,possible,O ADJ
16,1,collision,O NOUN
17,1,",",O PUNCT
18,1,aircraft,O NOUN
19,1,is,O AUX
20,1,pitching,O VERB
21,1,/,O PUNCT
22,1,rolling,O VERB
23,1,sharply,O ADV
24,1,forward,O ADV
25,1,/,O PUNCT
26,1,backwards,O ADV
27,1,/,O PUNCT
28,1,left,O NOUN
29,1,/,O PUNCT
30,1,right,O NOUN
31,1,"""",O PUNCT
32,2,Downlink,B-COMPONENT NOUN
33,2,data,O NOUN
34,2,connection,O NOUN
35,2,lost,O VERB
36,2,for,O ADP
37,2,nnn,O X
38,2,seconds,O NUM
39,3,High,O ADJ
40,3,Wind,B-COMPONENT NOUN
41,3,Velocity,B-PARAMETER NOUN
42,3,:,O PUNCT
43,3,Fly,B-ACTION VERB
44,3,with,O ADP
45,3,caution,O NOUN
46,3,and,O CCONJ
47,3,ensure,O VERB
48,3,the,O PRON
49,3,aircraft,O NOUN
50,3,remains,O NOUN
51,3,within,O ADP
52,3,your,O PRON
53,3,line,O NOUN
54,3,of,O ADP
55,3,sight,O NOUN
56,4,Home,B-COMPONENT NOUN
57,4,Point,B-STATE NOUN
58,4,Recorded,B-FUNCTION VERB
59,5,Motor,B-COMPONENT NOUN
60,5,is,O AUX
61,5,Blocked,B-ISSUE VERB
62,6,Propeller,B-COMPONENT NOUN
63,6,Fell,B-ACTION VERB
64,6,Off,O PART
65,7,Reaching,B-ACTION VERB
66,7,maximum,O ADJ
67,7,altitude,O NOUN
68,7,...,O PUNCT
69,8,Remote,B-COMPONENT ADJ
70,8,controller,O NOUN
71,8,signal,O NOUN
72,8,weak,O ADJ
73,8,.,O PUNCT
74,8,Adjust,I-ACTION VERB
75,8,remote,O ADJ
76,8,controller,O NOUN
77,8,antennas,O NOUN
78,8,(,O PUNCT
79,8,Code,O NOUN
80,8,:,O PUNCT
81,8,80002,O NUM
82,8,),O PUNCT
83,9,Setting,B-FUNCTION NOUN
84,9,new,O ADJ
85,9,Maximum,O ADJ
86,9,Flight,B-ACTION NOUN
87,9,Altitude,B-PARAMETER NOUN
88,9,to,O ADP
89,9,nnn,O X
90,9,(,O PUNCT
91,9,nnn,O X
92,9,),O PUNCT
93,10,Setting,B-FUNCTION NOUN
94,10,new,O ADJ
95,10,Return,B-ACTION VERB
96,10,-,O PUNCT
97,10,To,O ADP
98,10,-,O PUNCT
99,10,Home,B-COMPONENT NOUN
100,10,altitude,O NOUN
101,10,to,O ADP
102,10,nnn,O X
103,10,(,O PUNCT
104,10,nnn,O X
105,10,),O PUNCT
106,11,"""",O PUNCT
107,11,Sprayer,B-COMPONENT NOUN
108,11,turned,O VERB
109,11,OFF,O PART
110,11,",",O PUNCT
111,11,spray,O VERB
112,11,rate,O NOUN
113,11,was,O AUX
114,11,nnn,O X
115,11,liters,O NUM
116,11,/,O PUNCT
117,11,min,O NUM
118,11,"""",O PUNCT
119,12,Sprayer,B-COMPONENT NOUN
120,12,turned,O VERB
121,12,ON,O PART
122,13,Total,O ADJ
123,13,sprayed,O VERB
124,13,:,O PUNCT
125,13,nnn,O X
126,13,L,O X
127,13,/,O PUNCT
128,13,gal,O X
129,13,.,O PUNCT
130,13,nnn,O X
131,13,/,O PUNCT
132,13,acres,O NUM
133,13,nnn,O X
134,13,/,O PUNCT
135,13,gal,O X
136,13,.,O PUNCT
137,13,per,O ADP
138,13,acre,O NOUN
139,14,Your,O PRON
140,14,aircraft,O NOUN
141,14,is,O AUX
142,14,flying,O VERB
143,14,in,O ADP
144,14,an,O PRON
145,14,Altitude,B-PARAMETER NOUN
146,14,Zone,B-COMPONENT NOUN
147,14,(,O PUNCT
148,14,nnn,O X
149,14,),O PUNCT
150,14,.,O PUNCT
151,14,Please,O INTJ
152,14,fly,O VERB
153,14,with,O ADP
154,14,caution,O NOUN
155,15,Accelerator,O NOUN
156,15,is,O AUX
157,15,Over,O ADP
158,15,Range,B-PARAMETER NOUN
159,16,Account,O NOUN
160,16,not,O ADV
161,16,logged,O VERB
162,16,in,O ADP
163,16,.,O PUNCT
164,16,Flight,B-ACTION NOUN
165,16,altitude,O NOUN
166,16,and,O CCONJ
167,16,distance,O NOUN
168,16,restricted,O ADJ
169,16,to,O ADP
170,16,nnn,O X
171,16,and,O CCONJ
172,16,nnn,O X
173,16,.,O PUNCT
174,16,Check,B-ACTION VERB
175,16,and,O CCONJ
176,16,log,O NOUN
177,16,in,O ADP
178,16,(,O PUNCT
179,16,Code,O NOUN
180,16,:,O PUNCT
181,16,3000003,O NUM
182,16,),O PUNCT
183,17,Aircraft,O NOUN
184,17,GPS,O NOUN
185,17,interference,O NOUN
186,17,.,O PUNCT
187,17,Aircraft,O NOUN
188,17,unable,O ADJ
189,17,to,O ADP
190,17,fly,O VERB
191,17,stably,O ADV
192,17,.,O PUNCT
193,17,Land,B-ACTION VERB
194,17,or,O CCONJ
195,17,reutrn,O X
196,17,to,O ADP
197,17,home,O NOUN
198,17,promptly,O ADV
199,17,(,O PUNCT
200,17,Code,O NOUN
201,17,:,O PUNCT
202,17,30245,O NUM
203,17,),O PUNCT
204,18,Aircraft,O NOUN
205,18,in,O ADP
206,18,Altitude,B-PARAMETER NOUN
207,18,Zone,B-COMPONENT NOUN
208,18,(,O PUNCT
209,18,Altitude,B-PARAMETER NOUN
210,18,limit,O NOUN
211,18,:,O PUNCT
212,18,nnn,O X
213,18,),O PUNCT
214,18,.,O PUNCT
215,18,Fly,B-ACTION VERB
216,18,with,O ADP
217,18,caution,O NOUN
218,18,(,O PUNCT
219,18,Code,O NOUN
220,18,:,O PUNCT
221,18,190012,O NUM
222,18,),O PUNCT
223,19,Aircraft,O NOUN
224,19,in,O ADP
225,19,Altitude,B-PARAMETER NOUN
226,19,Zone,B-COMPONENT NOUN
227,19,(,O PUNCT
228,19,nnn,O X
229,19,),O PUNCT
230,19,.,O PUNCT
231,19,Fly,B-ACTION VERB
232,19,with,O ADP
233,19,caution,O NOUN
234,19,(,O PUNCT
235,19,Code,O NOUN
236,19,:,O PUNCT
237,19,190001,O NUM
238,19,),O PUNCT
239,20,Aircraft,O NOUN
240,20,in,O ADP
241,20,Altitude,B-PARAMETER NOUN
242,20,Zone,B-COMPONENT NOUN
243,20,.,O PUNCT
244,20,Max,O ADJ
245,20,altitude,O NOUN
246,20,set,O VERB
247,20,to,O ADP
248,20,nnn,O X
