sentence_ID,words,labels
0,Data,B-PARAMETER PROPN
0,Recorder,B-COMPONENT NOUN
0,File,O NOUN
0,Index,O NOUN
0,is,O AUX
0,nnn,O X
1,"""",O PUNCT
1,Detected,O VERB
1,side,O NOUN
1,/,O PUNCT
1,backward,O ADV
1,/,O PUNCT
1,forward,O ADV
1,shock,O NOUN
1,/,O PUNCT
1,possible,O ADJ
1,collision,O NOUN
1,",",O PUNCT
1,aircraft,O NOUN
1,is,O AUX
1,pitching,O VERB
1,/,O PUNCT
1,rolling,O VERB
1,sharply,O ADV
1,forward,O ADV
1,/,O PUNCT
1,backwards,O ADV
1,/,O PUNCT
1,left,O NOUN
1,/,O PUNCT
1,right,O NOUN
1,"""",O PUNCT
2,Downlink,B-COMPONENT NOUN
2,data,O NOUN
2,connection,O NOUN
2,lost,O VERB
2,for,O ADP
2,nnn,O X
2,seconds,O NUM
3,High,O ADJ
3,Wind,B-COMPONENT NOUN
3,Velocity,B-PARAMETER NOUN
3,:,O PUNCT
3,Fly,B-ACTION VERB
3,with,O ADP
3,caution,O NOUN
3,and,O SCONJ
3,ensure,O VERB
3,the,O PRON
3,aircraft,O NOUN
3,remains,O NOUN
3,within,O ADP
3,your,O PRON
3,line,O NOUN
3,of,O ADP
3,sight,O NOUN
4,Home,B-COMPONENT NOUN
4,Point,B-STATE NOUN
4,Recorded,B-FUNCTION VERB
5,Motor,B-COMPONENT NOUN
5,is,O AUX
5,Blocked,B-ISSUE VERB
6,Propeller,B-COMPONENT NOUN
6,Fell,B-ACTION VERB
6,Off,O PART
7,Reaching,B-ACTION VERB
7,maximum,O ADJ
7,altitude,O NOUN
7,...,O PUNCT
8,Remote,B-COMPONENT ADJ
8,controller,O NOUN
8,signal,O NOUN
8,weak,O ADJ
8,.,O PUNCT
8,Adjust,I-ACTION VERB
8,remote,O ADJ
8,controller,O NOUN
8,antennas,O NOUN
8,(,O PUNCT
8,Code,O NOUN
8,:,O PUNCT
8,80002,O NUM
8,),O PUNCT
9,Setting,B-FUNCTION NOUN
9,new,O ADJ
9,Maximum,O ADJ
9,Flight,B-ACTION NOUN
9,Altitude,B-PARAMETER NOUN
9,to,O ADP
9,nnn,O X
9,(,O PUNCT
9,nnn,O X
9,),O PUNCT
10,Setting,B-FUNCTION NOUN
10,new,O ADJ
10,Return,B-ACTION VERB
10,-,O PUNCT
10,To,O ADP
10,-,O PUNCT
10,Home,B-COMPONENT NOUN
10,altitude,O NOUN
10,to,O ADP
10,nnn,O X
10,(,O PUNCT
10,nnn,O X
10,),O PUNCT
11,"""",O PUNCT
11,Sprayer,B-COMPONENT NOUN
11,turned,O VERB
11,OFF,O PART
11,",",O PUNCT
11,spray,O VERB
11,rate,O NOUN
11,was,O AUX
11,nnn,O X
11,liters,O NUM
11,/,O PUNCT
11,min,O NUM
11,"""",O PUNCT
12,Sprayer,B-COMPONENT NOUN
12,turned,O VERB
12,ON,O PART
13,Total,O ADJ
13,sprayed,O VERB
13,:,O PUNCT
13,nnn,O X
13,L,O X
13,/,O PUNCT
13,gal,O X
13,.,O PUNCT
13,nnn,O X
13,/,O PUNCT
13,acres,O NUM
13,nnn,O X
13,/,O PUNCT
13,gal,O X
13,.,O PUNCT
13,per,O ADP
13,acre,O NOUN
14,Your,O PRON
14,aircraft,O NOUN
14,is,O AUX
14,flying,O VERB
14,in,O ADP
14,an,O PRON
