sentence_ID,words,labels,labels_encoded2
0,Data,B-PARAMETER PROPN,15
0,Recorder,B-COMPONENT NOUN,4
0,File,O NOUN,35
0,Index,O NOUN,35
0,is,O AUX,33
0,nnn,O X,43
1,"""",O PUNCT,40
1,Detected,O VERB,42
1,side,O NOUN,35
1,/,O PUNCT,40
1,backward,O ADV,32
1,/,O PUNCT,40
1,forward,O ADV,32
1,shock,O NOUN,35
1,/,O PUNCT,40
1,possible,O ADJ,30
1,collision,O NOUN,35
1,",",O PUNCT,40
1,aircraft,O NOUN,35
1,is,O AUX,33
1,pitching,O VERB,42
1,/,O PUNCT,40
1,rolling,O VERB,42
1,sharply,O ADV,32
1,forward,O ADV,32
1,/,O PUNCT,40
1,backwards,O ADV,32
1,/,O PUNCT,40
1,left,O NOUN,35
1,/,O PUNCT,40
1,right,O NOUN,35
1,"""",O PUNCT,40
2,Downlink,B-COMPONENT NOUN,4
2,data,O NOUN,35
2,connection,O NOUN,35
2,lost,O VERB,42
2,for,O ADP,31
2,nnn,O X,43
2,seconds,O NUM,36
3,High,O ADJ,30
3,Wind,B-COMPONENT NOUN,4
3,Velocity,B-PARAMETER NOUN,14
3,:,O PUNCT,40
3,Fly,B-ACTION VERB,2
3,with,O ADP,31
3,caution,O NOUN,35
3,and,O SCONJ,41
3,ensure,O VERB,42
3,the,O PRON,38
3,aircraft,O NOUN,35
3,remains,O NOUN,35
3,within,O ADP,31
3,your,O PRON,38
3,line,O NOUN,35
3,of,O ADP,31
3,sight,O NOUN,35
4,Home,B-COMPONENT NOUN,4
4,Point,B-STATE NOUN,18
4,Recorded,B-FUNCTION VERB,8
5,Motor,B-COMPONENT NOUN,4
5,is,O AUX,33
5,Blocked,B-ISSUE VERB,12
6,Propeller,B-COMPONENT NOUN,4
6,Fell,B-ACTION VERB,2
6,Off,O PART,37
7,Reaching,B-ACTION VERB,2
7,maximum,O ADJ,30
7,altitude,O NOUN,35
7,...,O PUNCT,40
8,Remote,B-COMPONENT ADJ,3
8,controller,O NOUN,35
8,signal,O NOUN,35
8,weak,O ADJ,30
8,.,O PUNCT,40
8,Adjust,I-ACTION VERB,23
8,remote,O ADJ,30
8,controller,O NOUN,35
8,antennas,O NOUN,35
8,(,O PUNCT,40
8,Code,O NOUN,35
8,:,O PUNCT,40
8,80002,O NUM,36
8,),O PUNCT,40
9,Setting,B-FUNCTION NOUN,7
9,new,O ADJ,30
9,Maximum,O ADJ,30
9,Flight,B-ACTION NOUN,0
9,Altitude,B-PARAMETER NOUN,14
9,to,O ADP,31
9,nnn,O X,43
9,(,O PUNCT,40
9,nnn,O X,43
9,),O PUNCT,40
10,Setting,B-FUNCTION NOUN,7
10,new,O ADJ,30
10,Return,B-ACTION VERB,2
